title,url,category,description,datetime,title_len
"Фіцо у Москві назвав себе ""чорною вівцею"" Євросоюзу",https://www.rbc.ua/rus/news/fitso-moskvi-nazvav-sebe-chornoyu-vivtseyu-1778265317.html,,,21:55,51
Зеленський дозволив проведення параду в Москві 9 травня,https://www.rbc.ua/rus/news/zelenskiy-dozvoliv-provedennya-paradu-moskvi-1778265521.html,,,21:40,55
Шведські винищувачі Gripen стануть пріоритетом Міноборони для захисту неба,https://www.rbc.ua/rus/news/shvedski-vinishchuvachi-gripen-stanut-prioritetom-1778263458.html,,,21:39,74
"Екссуддю Тандира, який збив нацгвардійця, викрили на махінаціях із квартирами",https://www.rbc.ua/rus/news/ekssuddyu-tandira-kiy-zbiv-natsgvardiytsya-1778264156.html,,,21:24,77
Трамп оголосив про триденне перемир'я і обмін полоненими між Україною та РФ,https://www.rbc.ua/rus/news/tramp-ogolosiv-tridenne-peremir-ya-i-obmin-1778264017.html,,,21:13,75
"Україна виготовить 25 тисяч бойових роботів для заміни людей у ""зоні смерті""",https://www.rbc.ua/rus/news/ukrayina-vigotovit-25-tisyach-boyovih-robotiv-1778262954.html,,,20:56,76
Чи є радіаційна загроза через пожежу в Чорнобильській зоні: що кажуть у МВС,https://www.rbc.ua/rus/news/chi-e-radiatsiyna-zagroza-cherez-pozhezhu-1778260684.html,,,20:25,75
"Палає стратегічний НПЗ, був удар по арсеналу ГРАУ: Генштаб підтвердив низку атак на РФ",https://www.rbc.ua/rus/news/rf-palae-strategichniy-npz-arsenal-grau-kedrovka-1778260282.html,,,20:20,86
"НБУ пояснив, чому ціни на АЗС не впали попри здешевлення нафти",https://www.rbc.ua/rus/news/nbu-poyasniv-chomu-tsini-azs-vpali-popri-1778260079.html,,,20:08,62
Пентагон уперше опублікував дані про контакти з НЛО,https://www.rbc.ua/rus/news/pentagon-upershe-opublikuvav-dani-kontakti-1778257396.html,,,19:35,51
Сирський заявив про активізацію ворога та скупчення сил РФ під Покровськом,https://www.rbc.ua/rus/news/sirskiy-zayaviv-aktivizatsiyu-voroga-ta-skupchennya-1778256567.html,,,19:22,74
"Присутність українських воїнів у Курській області зберігається, - Сирський",https://www.rbc.ua/rus/news/prisutnist-ukrayinskih-voyiniv-kurskiy-oblasti-1778257257.html,,,19:21,74
"Демонополізація газового ринку потрібна для інвестицій та зростання видобутку, - НАДПУ",https://www.rbc.ua/rus/news/demonopolizatsiya-gazovogo-rinku-potribna-1778255895.html,,,18:58,86
Понад 130 тисяч справ та тисяча підозр росіянам: в СБУ назвали масштаби розслідувань,https://www.rbc.ua/rus/news/ponad-130-tisyach-sprav-ta-tisyacha-pidozr-1778252966.html,,,18:45,84
"Не лише грози, а й похолодання: що чекати від погоди в Україні найближчими днями",https://www.rbc.ua/rus/news/lishe-grozi-y-poholodannya-shcho-chekati-1778253919.html,,,18:40,80
Біля берегів Греції виявили український морський дрон Magura,https://www.rbc.ua/rus/news/bilya-beregiv-gretsiyi-znayshli-dron-iz-detonatorami-1778253459.html,,,18:30,60
Видатки на армію зростуть удвічі: Кабмін пропонує Раді переглянути бюджет-2026,https://www.rbc.ua/rus/news/vidatki-armiyu-zrostut-udvichi-kabmin-proponue-1778252986.html,,,18:15,78
"Від початку великої війни ДТЕК вклав 2,4 млрд євро у стійкість енергосистеми, - Тімченко",https://www.rbc.ua/rus/news/vid-pochatku-velikoyi-viyni-dtek-vklav-2-1778252956.html,,,18:09,88
