Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Ukraine,UKR,2010,Income share held by fourth 20%,SI.DST.04TH.20,22.4
Ukraine,UKR,2009,Income share held by fourth 20%,SI.DST.04TH.20,22.5
Ukraine,UKR,2008,Income share held by fourth 20%,SI.DST.04TH.20,22.5
Ukraine,UKR,2007,Income share held by fourth 20%,SI.DST.04TH.20,22.5
Ukraine,UKR,2006,Income share held by fourth 20%,SI.DST.04TH.20,22.3
Ukraine,UKR,2005,Income share held by fourth 20%,SI.DST.04TH.20,22.6
Ukraine,UKR,2004,Income share held by fourth 20%,SI.DST.04TH.20,22.7
Ukraine,UKR,2003,Income share held by fourth 20%,SI.DST.04TH.20,22.3
Ukraine,UKR,2002,Income share held by fourth 20%,SI.DST.04TH.20,22.6
Ukraine,UKR,1999,Income share held by fourth 20%,SI.DST.04TH.20,22.6
Ukraine,UKR,1996,Income share held by fourth 20%,SI.DST.04TH.20,22.1
Ukraine,UKR,1995,Income share held by fourth 20%,SI.DST.04TH.20,21.8
Ukraine,UKR,1993,Income share held by fourth 20%,SI.DST.04TH.20,22.7
Ukraine,UKR,1992,Income share held by fourth 20%,SI.DST.04TH.20,23.2
Ukraine,UKR,2020,Income share held by highest 20%,SI.DST.05TH.20,35.9
Ukraine,UKR,2019,Income share held by highest 20%,SI.DST.05TH.20,36.5
Ukraine,UKR,2018,Income share held by highest 20%,SI.DST.05TH.20,36.1
Ukraine,UKR,2017,Income share held by highest 20%,SI.DST.05TH.20,36
Ukraine,UKR,2016,Income share held by highest 20%,SI.DST.05TH.20,35.1
Ukraine,UKR,2015,Income share held by highest 20%,SI.DST.05TH.20,35.6
Ukraine,UKR,2014,Income share held by highest 20%,SI.DST.05TH.20,34.6
Ukraine,UKR,2013,Income share held by highest 20%,SI.DST.05TH.20,35.1
Ukraine,UKR,2012,Income share held by highest 20%,SI.DST.05TH.20,35
Ukraine,UKR,2011,Income share held by highest 20%,SI.DST.05TH.20,34.9
Ukraine,UKR,2010,Income share held by highest 20%,SI.DST.05TH.20,35.2
Ukraine,UKR,2009,Income share held by highest 20%,SI.DST.05TH.20,35.4
Ukraine,UKR,2008,Income share held by highest 20%,SI.DST.05TH.20,36.4
Ukraine,UKR,2007,Income share held by highest 20%,SI.DST.05TH.20,36.6
Ukraine,UKR,2006,Income share held by highest 20%,SI.DST.05TH.20,38.8
Ukraine,UKR,2005,Income share held by highest 20%,SI.DST.05TH.20,38
Ukraine,UKR,2004,Income share held by highest 20%,SI.DST.05TH.20,37.9
Ukraine,UKR,2003,Income share held by highest 20%,SI.DST.05TH.20,38
Ukraine,UKR,2002,Income share held by highest 20%,SI.DST.05TH.20,38
Ukraine,UKR,1999,Income share held by highest 20%,SI.DST.05TH.20,37.9
Ukraine,UKR,1996,Income share held by highest 20%,SI.DST.05TH.20,42.7
Ukraine,UKR,1995,Income share held by highest 20%,SI.DST.05TH.20,45.9
Ukraine,UKR,1993,Income share held by highest 20%,SI.DST.05TH.20,37.8
Ukraine,UKR,1992,Income share held by highest 20%,SI.DST.05TH.20,37.8
Ukraine,UKR,2020,Income share held by highest 10%,SI.DST.10TH.10,21.7
Ukraine,UKR,2019,Income share held by highest 10%,SI.DST.10TH.10,22.3
Ukraine,UKR,2018,Income share held by highest 10%,SI.DST.10TH.10,22
Ukraine,UKR,2017,Income share held by highest 10%,SI.DST.10TH.10,21.7
Ukraine,UKR,2016,Income share held by highest 10%,SI.DST.10TH.10,21.2
Ukraine,UKR,2015,Income share held by highest 10%,SI.DST.10TH.10,21.6
Ukraine,UKR,2014,Income share held by highest 10%,SI.DST.10TH.10,20.6
Ukraine,UKR,2013,Income share held by highest 10%,SI.DST.10TH.10,21.1
Ukraine,UKR,2012,Income share held by highest 10%,SI.DST.10TH.10,20.8
Ukraine,UKR,2011,Income share held by highest 10%,SI.DST.10TH.10,20.7
Ukraine,UKR,2010,Income share held by highest 10%,SI.DST.10TH.10,21
Ukraine,UKR,2009,Income share held by highest 10%,SI.DST.10TH.10,21.1
Ukraine,UKR,2008,Income share held by highest 10%,SI.DST.10TH.10,21.9
Ukraine,UKR,2007,Income share held by highest 10%,SI.DST.10TH.10,22
Ukraine,UKR,2006,Income share held by highest 10%,SI.DST.10TH.10,24.1
Ukraine,UKR,2005,Income share held by highest 10%,SI.DST.10TH.10,23.2
